rank,regex,f1_val,acc_val,f1_tr,acc_tr,score,len,ops,star,plus,qmark,union,groups,tp_val,fp_val,fn_val,tn_val
1,^(?:a|b)*baa$,1.0000,1.0000,1.0000,1.0000,0.778000,11,5,1,0,1,1,2,90,0,0,89
2,^(?:a|b)*aa$,0.8867,0.8715,0.9071,0.8976,0.672949,10,5,1,0,1,1,2,90,23,0,66
3,^(?:a|b)*a$,0.7860,0.7263,0.7910,0.7357,0.576976,9,5,1,0,1,1,2,90,49,0,40
4,^(?:a|b)*bbaa$,0.6466,0.7374,0.7117,0.7762,0.469614,12,5,1,0,1,1,2,43,0,47,89
5,^(?:a|b)*$,0.6691,0.5028,0.6667,0.5000,0.452960,8,5,1,0,1,1,2,90,89,0,0
6,^(?:a|b)+$,0.6691,0.5028,0.6667,0.5000,0.452960,8,5,0,1,1,1,2,90,89,0,0
7,^b(?:a|b)*$,0.5608,0.5363,0.4816,0.4976,0.381855,9,5,1,0,1,1,2,53,46,37,43
8,^(?:a|b)*aa(?:a|b)*$,0.6950,0.5587,0.7095,0.5905,0.360770,18,10,2,0,2,2,4,90,79,0,10
9,^(?:a|b)*ba(?:a|b)*$,0.6767,0.5196,0.6752,0.5190,0.341595,18,10,2,0,2,2,4,90,86,0,3
10,^(?:a|b)*a(?:a|b)*$,0.6742,0.5140,0.6699,0.5071,0.340703,17,10,2,0,2,2,4,90,87,0,2
