rank,regex,f1_val,acc_val,f1_tr,acc_tr,score,len,ops,star,plus,qmark,union,groups,tp_val,fp_val,fn_val,tn_val
1,^(?:a|b)*abb$,1.0000,1.0000,1.0000,1.0000,0.778000,11,5,1,0,1,1,2,90,0,0,89
2,^(?:a|b)*bb$,0.8955,0.8827,0.9091,0.9000,0.682045,10,5,1,0,1,1,2,90,21,0,68
3,^(?:a|b)*b$,0.7563,0.6760,0.7735,0.7071,0.544889,9,5,1,0,1,1,2,90,58,0,31
4,^(?:a|b)*babb$,0.6466,0.7374,0.6916,0.7643,0.471620,12,5,1,0,1,1,2,43,0,47,89
5,^(?:a|b)*$,0.6691,0.5028,0.6667,0.5000,0.452960,8,5,1,0,1,1,2,90,89,0,0
6,^(?:a|b)+$,0.6691,0.5028,0.6667,0.5000,0.452960,8,5,0,1,1,1,2,90,89,0,0
7,^(?:a|b)*ab(?:a|b)*$,0.6923,0.5531,0.6796,0.5286,0.359230,18,10,2,0,2,2,4,90,80,0,9
8,^(?:a|b)*bb(?:a|b)*$,0.6923,0.5531,0.7071,0.5857,0.357754,18,10,2,0,2,2,4,90,80,0,9
9,^(?:a|b)*a(?:a|b)*$,0.6792,0.5251,0.6699,0.5071,0.346500,17,10,2,0,2,2,4,90,85,0,4
10,^(?:a|b)*b(?:a|b)*$,0.6716,0.5084,0.6699,0.5071,0.337825,17,10,2,0,2,2,4,90,88,0,1
